epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5903,1.14653,3.41437,1.32099,0.66468,0.46466,0.52466,0.42721,0.69859,1.73097,1.06379,0.0683421,0.00104654,0.00104654
2,22.1713,0.85596,1.52192,1.14813,0.81602,0.6844,0.72829,0.60734,0.65954,1.13652,0.99861,0.036029,0.00206672,0.00206672
3,32.5053,0.73728,0.93154,1.04635,0.88713,0.74092,0.80775,0.68943,0.62255,0.88182,0.94616,0.00366889,0.00303996,0.00303996
4,43.0293,0.71846,0.81237,1.01376,0.90223,0.80372,0.87664,0.77205,0.55633,0.65804,0.90057,0.0029888,0.0029888,0.0029888
5,53.5343,0.69945,0.73202,0.98713,0.92463,0.77897,0.87795,0.75559,0.58076,0.64899,0.90053,0.0029184,0.0029184,0.0029184
6,63.8423,0.70462,0.68238,0.98436,0.95272,0.76358,0.86949,0.7606,0.57605,0.66386,0.89241,0.002848,0.002848,0.002848
7,74.1653,0.67829,0.66682,0.97191,0.92333,0.82402,0.89052,0.78914,0.5374,0.60324,0.87222,0.0027776,0.0027776,0.0027776
8,84.7523,0.64645,0.62143,0.96039,0.97887,0.82808,0.90809,0.79003,0.53595,0.55936,0.88495,0.0027072,0.0027072,0.0027072
9,95.1653,0.62829,0.58663,0.94356,0.92181,0.81643,0.87597,0.75545,0.59137,0.67747,0.92537,0.0026368,0.0026368,0.0026368
10,105.496,0.63824,0.56987,0.94265,0.92409,0.88071,0.92701,0.81546,0.51339,0.497,0.87029,0.0025664,0.0025664,0.0025664
11,115.903,0.65055,0.57576,0.95621,0.94057,0.81447,0.90632,0.80632,0.5188,0.54801,0.88575,0.002496,0.002496,0.002496
12,126.203,0.62462,0.57099,0.93869,0.96955,0.86931,0.92266,0.82151,0.5172,0.44944,0.87837,0.0024256,0.0024256,0.0024256
13,136.515,0.5958,0.50778,0.9325,0.92766,0.86803,0.91272,0.80099,0.53407,0.50958,0.89797,0.0023552,0.0023552,0.0023552
14,146.822,0.58966,0.51595,0.93574,0.9633,0.87839,0.92659,0.82713,0.49534,0.43336,0.88653,0.0022848,0.0022848,0.0022848
15,157.14,0.59629,0.50366,0.93245,0.95221,0.89825,0.93466,0.84024,0.48493,0.44039,0.87147,0.0022144,0.0022144,0.0022144
16,167.441,0.56101,0.48408,0.91621,0.981,0.87144,0.92275,0.82179,0.49779,0.4593,0.88526,0.002144,0.002144,0.002144
17,177.845,0.55289,0.50509,0.91162,0.94878,0.87209,0.91726,0.82807,0.47507,0.45611,0.85063,0.0020736,0.0020736,0.0020736
18,188.179,0.53991,0.46795,0.90242,0.95401,0.88924,0.93678,0.84604,0.44965,0.41991,0.8512,0.0020032,0.0020032,0.0020032
19,198.563,0.52971,0.45441,0.89407,0.95295,0.90591,0.93011,0.84501,0.47035,0.4343,0.84787,0.0019328,0.0019328,0.0019328
20,208.852,0.52081,0.44865,0.89035,0.97099,0.89434,0.93938,0.85924,0.43648,0.42622,0.84117,0.0018624,0.0018624,0.0018624
21,219.164,0.51466,0.44827,0.89571,0.97963,0.88286,0.93901,0.85417,0.44314,0.42774,0.84789,0.001792,0.001792,0.001792
22,229.443,0.52568,0.45319,0.8922,0.96673,0.89636,0.93817,0.84976,0.4514,0.42579,0.86009,0.0017216,0.0017216,0.0017216
23,239.804,0.50682,0.41675,0.8959,0.95014,0.83342,0.90657,0.82336,0.481,0.53107,0.88174,0.0016512,0.0016512,0.0016512
24,250.112,0.50657,0.42191,0.89017,0.96319,0.90169,0.935,0.86254,0.41624,0.37756,0.84186,0.0015808,0.0015808,0.0015808
25,260.523,0.50384,0.42426,0.89165,0.98242,0.91056,0.94668,0.8699,0.41978,0.37828,0.84229,0.0015104,0.0015104,0.0015104
26,271.256,0.47783,0.39718,0.88034,0.98159,0.87759,0.94377,0.86219,0.39939,0.38942,0.83245,0.00144,0.00144,0.00144
27,281.537,0.46735,0.38597,0.87982,0.97128,0.87699,0.93215,0.85493,0.43057,0.41037,0.85399,0.0013696,0.0013696,0.0013696
28,291.875,0.47504,0.39154,0.88158,0.96228,0.87725,0.9319,0.85852,0.42184,0.41121,0.84425,0.0012992,0.0012992,0.0012992
29,302.105,0.47039,0.38367,0.87687,0.98795,0.88598,0.93853,0.86488,0.40442,0.38629,0.83845,0.0012288,0.0012288,0.0012288
30,312.385,0.45388,0.36005,0.87431,0.97111,0.90494,0.94092,0.88621,0.37371,0.35909,0.82753,0.0011584,0.0011584,0.0011584
31,337.914,0.34684,0.2773,0.81298,0.9772,0.88965,0.92732,0.8597,0.39869,0.43481,0.84462,0.001088,0.001088,0.001088
32,348.142,0.35099,0.27466,0.80717,0.98073,0.89679,0.93209,0.86546,0.40209,0.4197,0.83743,0.0010176,0.0010176,0.0010176
33,358.475,0.34976,0.26188,0.81274,0.98561,0.9098,0.93874,0.87438,0.39708,0.38455,0.82904,0.0009472,0.0009472,0.0009472
34,369.68,0.35125,0.26217,0.80236,0.95933,0.89148,0.93579,0.86917,0.41371,0.40162,0.85386,0.0008768,0.0008768,0.0008768
35,380.72,0.34525,0.26115,0.80808,0.98835,0.90035,0.93979,0.87446,0.37579,0.3825,0.828,0.0008064,0.0008064,0.0008064
36,391.58,0.33727,0.25597,0.79948,0.97616,0.9062,0.93952,0.88011,0.37582,0.36515,0.82238,0.000736,0.000736,0.000736
37,401.716,0.33173,0.24846,0.80306,0.99093,0.89138,0.9443,0.88342,0.3687,0.35651,0.82184,0.0006656,0.0006656,0.0006656
38,411.929,0.3218,0.24521,0.80358,0.98042,0.90686,0.93796,0.88281,0.36905,0.35874,0.81803,0.0005952,0.0005952,0.0005952
39,422.095,0.31901,0.23475,0.79968,0.98783,0.90543,0.94127,0.88788,0.36037,0.349,0.82355,0.0005248,0.0005248,0.0005248
40,432.368,0.30215,0.22909,0.79548,0.98965,0.89941,0.94064,0.88032,0.35045,0.34194,0.82048,0.0004544,0.0004544,0.0004544
